Agent,Grid Size,Number of Colors,Mean regenerations during init,Median regenerations during init,Mean Matches Occurred during init,Median Matches Occurred during init,Mean Deadlocks during init,Median Deadlocks during init,Mean Shuffles/Deadlocks Occurred per move,Median Shuffles/Deadlocks Occurred per move,Mean Shuffles/Deadlocks Occurred per game,Median Shuffles/Deadlocks Occurred per game,Mean score per Game Setting,Median score per Game Setting,Mean Valid Moves Made,Median Valid Moves Made,Mean Possible/Playable Moves per config,Median Possible/Playable Moves per config,Mean Avalanche Matches per game,Median Avalanche Matches per game,Mean deterministic score after first move,Median deterministic score after first move,Mean non-deterministic score after first move,Median non-deterministic score after first move
bottom_agent,"(9, 9)",40,1.96,1.0,0.185,0.0,1.775,1.0,2.3513800000000002,2.347,23.5138,23.47,30.546599999999998,30.46,10.0,10.0,18.26401,18.317,1.0754,1.06,3.01,3.0,0.065,0.0
bottom_agent,"(9, 9)",50,3.05,2.0,0.14,0.0,2.91,2.0,4.09151,4.048,40.915099999999995,40.480000000000004,30.274099999999997,30.26,10.0,10.0,17.95154,18.056,1.0075,1.0,3.0,3.0,0.0114,0.0
bottom_agent,"(9, 9)",60,3.605,2.0,0.11,0.0,3.495,2.0,6.972385583394999,6.706,69.6209,67.06,30.2055,30.17,9.991,10.0,18.16866774775,18.27540122,1.0125,1.0,3.02,3.0,0.037200000000000004,0.0
bottom_agent,"(9, 9)",70,6.035,4.0,0.165,0.0,5.87,4.0,10.852971175565,10.017,106.45280000000001,100.17,29.8174,30.04,9.89,10.0,18.0060384859,17.9478996,0.9799000000000001,0.98,3.005,3.0,0.018000000000000002,0.0
bottom_agent,"(9, 9)",80,7.535,5.0,0.14,0.0,7.395,5.0,16.767952468565,15.444326535,154.4632,151.56,28.4937,29.41,9.465499999999999,9.78,17.824447363700003,17.77659386,0.9326000000000001,0.94,3.005,3.0,0.0032999999999999995,0.0
bottom_agent,"(20, 20)",15,20.915,13.0,19.97,12.0,0.945,1.0,0.00011000000000000002,0.0,0.0011,0.0,36.9147,36.0,10.0,10.0,14.712250000000001,14.437000000000001,1.8619999999999999,1.66,3.065,3.0,0.9746000000000001,0.14
bottom_agent,"(20, 20)",20,4.76,3.0,3.95,2.0,0.81,1.0,0.02508,0.0,0.2508,0.0,33.841499999999996,33.57,10.0,10.0,22.429080000000003,9.591000000000001,1.1062,1.12,3.065,3.0,0.457,0.06
bottom_agent,"(20, 20)",25,2.145,1.0,1.48,0.0,0.665,1.0,0.08381,0.098,0.8381000000000001,0.98,32.8238,32.55,10.0,10.0,46.47166,51.687,0.9956999999999999,0.98,3.02,3.0,0.22690000000000002,0.0
bottom_agent,"(20, 20)",30,1.365,1.0,0.76,0.0,0.605,1.0,0.13849,0.138,1.3849,1.38,32.2438,31.92,10.0,10.0,59.42029,58.609,1.0284,0.96,3.015,3.0,0.1396,0.0
bottom_agent,"(20, 20)",35,0.92,0.0,0.415,0.0,0.505,0.0,0.20119,0.204,2.0119,2.04,31.726599999999998,31.52,10.0,10.0,68.30741,67.667,1.0294999999999999,0.98,3.025,3.0,0.1293,0.0
bottom_agent,"(20, 20)",40,0.745,0.0,0.295,0.0,0.45,0.0,0.27181,0.273,2.7180999999999993,2.7300000000000004,31.4538,31.25,10.0,10.0,74.49313000000001,76.15799999999999,1.0463,1.02,3.01,3.0,0.0937,0.0
bottom_agent,"(20, 20)",45,0.555,0.0,0.19,0.0,0.365,0.0,0.35119,0.36,3.5119,3.6,31.267,31.04,10.0,10.0,77.94862,78.726,1.0768,1.02,3.005,3.0,0.1381,0.0
bottom_agent,"(20, 20)",50,0.49,0.0,0.095,0.0,0.395,0.0,0.44179,0.44899999999999995,4.4179,4.49,30.945100000000004,30.82,10.0,10.0,81.29718000000001,81.765,1.0476,1.03,3.0,3.0,0.0724,0.0
bottom_agent,"(20, 20)",100,1.495,1.0,0.11,0.0,1.385,1.0,1.7662,1.774,17.662,17.740000000000002,30.237,30.22,10.0,10.0,88.85682000000001,89.918,1.0034999999999998,1.0,3.005,3.0,0.0009,0.0
bottom_agent,"(20, 20)",150,4.335,3.0,0.145,0.0,4.19,3.0,4.09176,4.073,40.9176,40.730000000000004,30.103,30.1,10.0,10.0,89.68892,89.79299999999999,0.9976,1.0,3.0,3.0,0.0012,0.0
bottom_agent,"(20, 20)",200,6.895,4.0,0.14,0.0,6.755,4.0,7.5288,7.558,75.288,75.58,30.069000000000003,30.06,10.0,10.0,90.90327,89.762,1.0073,1.0,3.0,3.0,0.015600000000000001,0.0
bottom_agent,"(20, 20)",250,12.015,8.0,0.115,0.0,11.9,8.0,11.879033610450001,11.669,118.6323,116.50999999999999,30.0064,30.02,9.988500000000002,10.0,88.797543202,88.23,0.9799000000000001,0.98,3.0,3.0,0.0006,0.0
bottom_agent,"(20, 20)",300,18.666666666666668,12.5,0.11904761904761904,0.0,18.547619047619047,12.5,17.846899706666665,17.835355025,174.9842857142857,176.55,29.512380952380948,29.549999999999997,9.826428571428572,9.84,88.5301266486905,89.51033058,0.9645238095238093,0.96,3.0,3.0,0.0,0.0
bottom_agent,"(20, 20)",350,21.390625,14.5,0.109375,0.0,21.28125,14.5,23.7310549440625,23.613168725,220.9790625,221.38,28.1525,28.57,9.378125,9.52,86.84233420046876,85.319390935,0.916875,0.9,3.0,3.0,0.0,0.0
bottom_agent,"(20, 20)",400,25.4,18.0,0.13333333333333333,0.0,25.266666666666666,18.0,32.167885645999995,31.3764988,250.91466666666665,249.5,24.204000000000004,25.32,8.064,8.44,87.86495128799999,87.34482759,0.8,0.78,3.0,3.0,0.0,0.0
NotApplicable,"(10, 10)",5,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NotApplicable,"(15, 15)",5,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NotApplicable,"(15, 15)",10,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NotApplicable,"(9, 9)",4,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NotApplicable,"(9, 9)",5,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NotApplicable,"(9, 9)",6,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NotApplicable,"(20, 20)",5,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NotApplicable,"(20, 20)",10,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NotApplicable,"(20, 20)",300,100.0,100.0,1.0,1.0,99.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NotApplicable,"(20, 20)",350,100.0,100.0,1.0,1.0,99.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
